Instrument,Qty.,Avg. cost,LTP,Invested,Cur. val,P&L,Net chg.,Day chg.
BATAINDIA,106,1129.12,1115.5,119686.6,118243,-1443.6,-1.21,1.58
AARTIIND,361,387.48,378.35,139879.05,136584.35,-3294.7,-2.36,0.56
ASIANPAINT,60,2253.53,2570.2,135211.9,154212,19000.1,14.05,2.05
CLEAN,127,1229.92,1186.7,156200.2,150710.9,-5489.3,-3.51,1.04
ASTRAL,50,1334.64,1407.3,66732,70365,3633,5.44,3.49
CONCOR,410,610.5,539.55,250303,221215.5,-29087.5,-11.62,2.31
DEEPAKNTR,80,1895.83,1785,151666,142800,-8866,-5.85,-0.19
AUROPHARMA,40,1039.29,1025,41571.5,41000,-571.5,-1.37,-0.28
HAPPSTMNDS,395,633.9,566.2,250391.05,223649,-26742.05,-10.68,0.2
BANDHANBNK,200,154.89,161.35,30978.57,32270,1291.43,4.17,-0.31
HINDUNILVR,6,2238.05,2648.9,13428.3,15893.4,2465.1,18.36,-0.42
IRCON,950,168.99,167.2,160544.51,158840,-1704.51,-1.06,4.27
ITBEES,300,35.2,38.96,10560,11688,1128,10.68,1.41
LIQUIDBEES,271,975.45,999.99,264347.92,270997.29,6649.37,2.52,0
PVRINOX,60,959.55,1119.3,57573,67158,9585,16.65,-0.05
TATAMOTORS,120,670.17,690.15,80420.5,82818,2397.5,2.98,3.16
TCS,62,3231.02,3112.6,200323.2,192981.2,-7342,-3.67,0.9
